Loan,Seller,Property Name,Street Address,City,State,Zip Code,County,Number of Properties,Property Type,Property Subtype,Year Built,Year Renovated,Units,Unit of Measure,Occupancy,Occupancy Date,Appraised Value,Appraisal Date,Current LTV,Original Balance,Original Balance per Unit,Current Balance,Current Balance per Unit,of Initial Pool Balance,Crossed Loan,Related Borrower,Interest Rate,Admin. Fee,Net Mortgage Rate,Accrual Type,Monthly Debt Service,Annual Debt Service,Note Date,First Payment Date,Partial IO Last IO Payment,Partial IO Loan First P&I Payment,Rem. Term,Rem. Amort,IO Period,Seasoning,Payment Due Date,Grace Period,Grace Period,Maturity Date,ARD Loan,Final Mat Date,MaturityARD Balance,Maturity LTV,Prepayment Provision,2008 Revenues,2008 Total Expenses,2008 NOI,2009 Revenues,2009 Total Expenses,2009 NOI,2010 Revenues,2010 Total Expenses,2010 NOI,Most Recent Revenues,Most Recent Total Expenses,Most Recent NOI,As of,UW Economic Occupancy,UW Revenues,UW Total Expenses,UW NOI,UW Capital Items,UW NCF,UW NOI DSCR,UW NCF DSCR,UW NOI Debt Yield,UW NCF Debt Yield,Title Type,Ground Lease Expiration,Ground Lease Extension Terms,PML,Upfront Capex Reserve,Upfront Engin. Reserve,Upfront Envir. Reserve,Upfront TILC Reserve,Upfront RE Tax Reserve,Upfront Ins. Reserve,Upfront Other Reserve,Monthly Capex Reserve,Monthly Envir. Reserve,Monthly TILC Reserve,Monthly RE Tax Reserve,Monthly Ins. Reserve,Monthly Other Reserve,Capex Reserve Cap,TILC Reserve Cap,Single Tenant,Largest Tenant,Unit Size,Lease Expiration,2nd Largest Tenant,Unit Size,Lease Expiration,3rd Largest Tenant,Unit Size,Lease Expiration,4th Largest Tenant,. 1,Lease Expiration,. 1,5th Largest Tenant,Unit Size,Lease Expiration,Loan Purpose,Principal Carveout Guarantor,Lockbox,Lockbox Type,Additional Debt Permitted,Additional Debt Exist,Additional Debt Amount,Additional Debt Type,Total Debt Current Balance,Total Debt UW NCF DSCR,Total Debt Current LTV,Total Debt UW NOI Debt Yield,2008 Occupancy,2008 ADR,2008 RevPAR,2009 Occupancy,2009 ADR,2009 RevPAR,2010 Occupancy,2010 ADR,2010 RevPAR,Most Recent Occupancy,Most Recent ADR,Most Recent RevPAR,UW Occupancy,UW ADR,UW RevPAR
1.0,JPMCB,InterContinental Hotel Chicago,505 North Michigan Avenue,Chicago,IL,60611,Cook,1,Hotel,Full Service,1929,2010,792,Rooms,76.8%,06/30/11,"289,000,000",07/01/11,50.2%,"145,000,000","183,081","145,000,000","183,081",14.1%,No,  ,5.61000,0.10720,5.50280,Actual/360,"833,329.09","9,999,949.08",07/28/11,09/01/11,08/01/13,09/01/13,119,360,24,1,1,0,0,08/01/21,No,  ,"127,352,255",44.1%,"L(25),Grtr1%orYM(92),O(3)","78,687,110","55,731,474","22,955,636","63,713,751","48,746,390","14,967,361","62,767,661","47,899,159","14,868,502","65,421,022","49,499,229","15,921,793",06/30/11,76.8%,"65,807,521","50,124,973","15,682,548",0,"15,682,548",1.57,1.57,10.8%,10.8%,Fee,  ,  ,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,No,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance,Strategic Hotel Funding L.L.C.,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP,81.0%,210.44,170.45,76.1%,175.83,133.84,73.4%,178.19,130.74,76.8%,180.19,138.30,76.8%,180.19,138.30
2.0,JPMCB,SunTrust Bank Portfolio I,Various,Various,Various,Various,Various,121,Retail,Freestanding,Various,  ,"646,399",Square Feet,100.0%,06/15/11,"199,901,000",Various,50.0%,"100,000,000",155,"100,000,000",155,9.7%,No,1,5.42000,0.10720,5.31280,Actual/360,"459,194.44","5,510,333.28",06/30/11,08/01/11,  ,  ,118,0,120,2,1,0,0,07/01/21,Yes,07/01/31,"100,000,000",50.0%,"L(5),Grtr1%orYM(112),O(3)",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"15,155,436","454,663","14,700,773","885,567","13,815,207",2.67,2.51,14.7%,13.8%,Fee,  ,  ,  ,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,Yes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance,"Inland American Real Estate Trust, Inc.",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.001,JPMCB,3020 Peachtree Road NW,3020 Peachtree Road NW,Atlanta,GA,30305,Fulton,1,Retail,Freestanding,1980,  ,"12,940",Square Feet,100.0%,06/15/11,"8,000,000",05/11/11,  ,"4,000,380",  ,"4,000,380",  ,0.4%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"4,000,380",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"581,911","17,457","564,454","17,728","546,726",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"12,940",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.002,JPMCB,1030 Wilmer Avenue,1030 Wilmer Avenue,Richmond,VA,23227,Henrico,1,Retail,Freestanding,1991,  ,"78,308",Square Feet,100.0%,06/15/11,"7,800,000",05/10/11,  ,"3,900,371",  ,"3,900,371",  ,0.4%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"3,900,371",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"579,549","17,386","562,163","107,282","454,881",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"78,308",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.003,JPMCB,7500 Wisconsin Avenue,7500 Wisconsin Avenue,Bethesda,MD,20814,Montgomery,1,Retail,Freestanding,1926,  ,"11,060",Square Feet,100.0%,06/15/11,"6,300,000",05/23/11,  ,"3,150,299",  ,"3,150,299",  ,0.3%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"3,150,299",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"401,463","12,044","389,419","15,152","374,267",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"11,060",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.004,JPMCB,3300 Northside Parkway NW,3300 Northside Parkway NW,Atlanta,GA,30327,Fulton,1,Retail,Freestanding,1968,  ,"9,789",Square Feet,100.0%,06/15/11,"5,000,000",05/11/11,  ,"2,500,238",  ,"2,500,238",  ,0.2%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"2,500,238",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"394,808","11,844","382,964","13,411","369,553",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"9,789",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.005,JPMCB,5898 Roswell Road NE,5898 Roswell Road NE,Atlanta,GA,30328,Fulton,1,Retail,Freestanding,1971,  ,"6,853",Square Feet,100.0%,06/15/11,"3,900,000",05/11/11,  ,"1,950,185",  ,"1,950,185",  ,0.2%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,950,185",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"276,394","8,292","268,102","9,389","258,714",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,853",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.006,JPMCB,152 Main Street,152 Main Street,Annapolis,MD,21401,Anne Arundel,1,Retail,Freestanding,1925,  ,"5,900",Square Feet,100.0%,06/15/11,"3,700,000",05/06/11,  ,"1,850,176",  ,"1,850,176",  ,0.2%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,850,176",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"267,702","8,031","259,671","8,083","251,588",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,900",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.007,JPMCB,100 Crain Highway SW,100 Crain Highway SW,Glen Burnie,MD,21061,Anne Arundel,1,Retail,Freestanding,1962,  ,"6,645",Square Feet,100.0%,06/15/11,"3,300,000",05/09/11,  ,"1,650,157",  ,"1,650,157",  ,0.2%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,650,157",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"241,204","7,236","233,968","9,104","224,865",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,645",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.008,JPMCB,4250 John Marr Drive,4250 John Marr Drive,Annandale,VA,22003,Fairfax,1,Retail,Freestanding,1993,  ,"2,440",Square Feet,100.0%,06/15/11,"3,250,000",05/23/11,  ,"1,625,154",  ,"1,625,154",  ,0.2%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,625,154",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"221,422","6,643","214,779","3,343","211,436",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,440",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
