1,JPMCB,InterContinental Hotel Chicago,505 North Michigan Avenue,Chicago,IL,60611,Cook,1,Hotel,Full Service,1929,2010
2,JPMCB,SunTrust Bank Portfolio I,Various,Various,Various,Various,Various,121,Retail,Freestanding,Various,  
2.001,JPMCB,3020 Peachtree Road NW,3020 Peachtree Road NW,Atlanta,GA,30305,Fulton,1,Retail,Freestanding,1980,  
2.002,JPMCB,1030 Wilmer Avenue,1030 Wilmer Avenue,Richmond,VA,23227,Henrico,1,Retail,Freestanding,1991,  
2.003,JPMCB,7500 Wisconsin Avenue,7500 Wisconsin Avenue,Bethesda,MD,20814,Montgomery,1,Retail,Freestanding,1926,  
2.004,JPMCB,3300 Northside Parkway NW,3300 Northside Parkway NW,Atlanta,GA,30327,Fulton,1,Retail,Freestanding,1968,  
2.005,JPMCB,5898 Roswell Road NE,5898 Roswell Road NE,Atlanta,GA,30328,Fulton,1,Retail,Freestanding,1971,  
2.006,JPMCB,152 Main Street,152 Main Street,Annapolis,MD,21401,Anne Arundel,1,Retail,Freestanding,1925,  
2.007,JPMCB,100 Crain Highway SW,100 Crain Highway SW,Glen Burnie,MD,21061,Anne Arundel,1,Retail,Freestanding,1962,  
2.008,JPMCB,4250 John Marr Drive,4250 John Marr Drive,Annandale,VA,22003,Fairfax,1,Retail,Freestanding,1993,  
2.009,JPMCB,160 Garrisonville Road,160 Garrisonville Road,Stafford,VA,22554,Stafford,1,Retail,Freestanding,1992,  
2.010,JPMCB,5775 Red Bug Lake Road,5775 Red Bug Lake Road,Casselberry,FL,32708,Seminole,1,Retail,Freestanding,1982,  
2.011,JPMCB,4212 Washington Road,4212 Washington Road,Evans,GA,30809,Columbia,1,Retail,Freestanding,1980,  
2.012,JPMCB,47 Whitlock Avenue,47 Whitlock Avenue,Marietta,GA,30064,Cobb,1,Retail,Freestanding,1979,  
2.013,JPMCB,4110 Brambleton Avenue SW,4110 Brambleton Avenue SW,Roanoke,VA,24018,Roanoke,1,Retail,Freestanding,1973,  
2.014,JPMCB,880 East Palmetto Park Road,880 East Palmetto Park Road,Boca Raton,FL,33432,Palm Beach,1,Retail,Freestanding,1973,  
2.015,JPMCB,1409 East Atlantic Boulevard,1409 East Atlantic Boulevard,Pompano Beach,FL,33060,Broward,1,Retail,Freestanding,1979,  
2.016,JPMCB,3577 Fruitville Road,3577 Fruitville Road,Sarasota,FL,34237,Sarasota,1,Retail,Freestanding,1974,  
2.017,JPMCB,827 Joe Frank Harris Parkway,827 Joe Frank Harris Parkway,Cartersville,GA,30120,Bartow,1,Retail,Freestanding,1989,  
2.018,JPMCB,1470 West Granada Boulevard,1470 West Granada Boulevard,Ormond Beach,FL,32174,Volusia,1,Retail,Freestanding,1994,  
2.019,JPMCB,103 City Circle,103 City Circle,Peachtree City,GA,30269,Fayette,1,Retail,Freestanding,1997,  
2.020,JPMCB,110 Mulberry Street NW,110 Mulberry Street NW,Lenoir,NC,28645,Caldwell,1,Retail,Freestanding,1970,  
2.021,JPMCB,1331 Johnson Ferry Road,1331 Johnson Ferry Road,Marietta,GA,30068,Cobb,1,Retail,Freestanding,1979,  
2.022,JPMCB,8226 North Wickham Road,8226 North Wickham Road,Melbourne,FL,32940,Brevard,1,Retail,Freestanding,1995,  
2.023,JPMCB,3620 Six Forks Road,3620 Six Forks Road,Raleigh,NC,27609,Wake,1,Retail,Freestanding,1971,  
2.024,JPMCB,1725 Mallory Lane,1725 Mallory Lane,Brentwood,TN,37027,Williamson,1,Retail,Freestanding,1994,  
2.025,JPMCB,4290 13th Street,4290 13th Street,St. Cloud,FL,34769,Osceola,1,Retail,Freestanding,1990,  
2.026,JPMCB,3800 South Semoran Boulevard,3800 South Semoran Boulevard,Orlando,FL,32822,Orange,1,Retail,Freestanding,1988,  
2.027,JPMCB,200 East Fifth Avenue,200 East Fifth Avenue,Mount Dora,FL,32757,Lake,1,Retail,Freestanding,1985,  
