  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1,JPMCB,InterContinental Hotel Chicago,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  
2,JPMCB,SunTrust Bank Portfolio I,  ,  ,  ,  ,  ,  ,  ,  ,Yes,  ,  ,  ,  ,  ,  ,  
2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"12,940",12/31/17,  ,  ,  ,  
2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"78,308",12/31/17,  ,  ,  ,  
2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"11,060",12/31/17,  ,  ,  ,  
2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"9,789",12/31/17,  ,  ,  ,  
2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,853",12/31/17,  ,  ,  ,  
2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,900",12/31/17,  ,  ,  ,  
2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,645",12/31/17,  ,  ,  ,  
2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,440",12/31/17,  ,  ,  ,  
2.009,JPMCB,160 Garrisonville Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,800",12/31/17,  ,  ,  ,  
2.010,JPMCB,5775 Red Bug Lake Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,465",12/31/17,  ,  ,  ,  
2.011,JPMCB,4212 Washington Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"9,235",12/31/17,  ,  ,  ,  
2.012,JPMCB,47 Whitlock Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"8,310",12/31/17,  ,  ,  ,  
2.013,JPMCB,4110 Brambleton Avenue SW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,032",12/31/17,  ,  ,  ,  
2.014,JPMCB,880 East Palmetto Park Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,000",12/31/17,  ,  ,  ,  
2.015,JPMCB,1409 East Atlantic Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,200",12/31/17,  ,  ,  ,  
2.016,JPMCB,3577 Fruitville Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,684",12/31/17,  ,  ,  ,  
2.017,JPMCB,827 Joe Frank Harris Parkway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"8,992",12/31/17,  ,  ,  ,  
2.018,JPMCB,1470 West Granada Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,300",12/31/17,  ,  ,  ,  
2.019,JPMCB,103 City Circle,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"7,166",12/31/17,  ,  ,  ,  
2.020,JPMCB,110 Mulberry Street NW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"11,433",12/31/17,  ,  ,  ,  
2.021,JPMCB,1331 Johnson Ferry Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,911",12/31/17,  ,  ,  ,  
2.022,JPMCB,8226 North Wickham Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"9,269",12/31/17,  ,  ,  ,  
2.023,JPMCB,3620 Six Forks Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"16,491",12/31/17,  ,  ,  ,  
2.024,JPMCB,1725 Mallory Lane,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,135",12/31/17,  ,  ,  ,  
2.025,JPMCB,4290 13th Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,000",12/31/17,  ,  ,  ,  
2.026,JPMCB,3800 South Semoran Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,000",12/31/17,  ,  ,  ,  
2.027,JPMCB,200 East Fifth Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,908",12/31/17,  ,  ,  ,  
2.028,JPMCB,1411 Woodward Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,596",12/31/17,  ,  ,  ,  
2.029,JPMCB,5025 West Colonial Drive,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"12,340",12/31/17,  ,  ,  ,  
2.030,JPMCB,214 West Broadway Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"13,320",12/31/17,  ,  ,  ,  
2.031,JPMCB,5030 Thoroughbred Lane,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,750",12/31/17,  ,  ,  ,  
2.032,JPMCB,403 Academy Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,904",12/31/17,  ,  ,  ,  
2.033,JPMCB,1900 Queens Chapel Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,599",12/31/17,  ,  ,  ,  
2.034,JPMCB,113 East Granada Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,900",12/31/17,  ,  ,  ,  
2.035,JPMCB,408 South US Highway 41,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,400",12/31/17,  ,  ,  ,  
2.036,JPMCB,299 Bill France Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,200",12/31/17,  ,  ,  ,  
2.037,JPMCB,1235 Southlake Circle,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"10,537",12/31/17,  ,  ,  ,  
2.038,JPMCB,6300 Central Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,786",12/31/17,  ,  ,  ,  
2.039,JPMCB,2503 Lebanon Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,600",12/31/17,  ,  ,  ,  
2.040,JPMCB,2458 North Wickham Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,600",12/31/17,  ,  ,  ,  
2.041,JPMCB,160 North Nova Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,200",12/31/17,  ,  ,  ,  
2.042,JPMCB,1301 Northwest Saint Lucie West Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,000",12/31/17,  ,  ,  ,  
2.043,JPMCB,1075 Carpenters Way,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,938",12/31/17,  ,  ,  ,  
2.044,JPMCB,930 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"8,527",12/31/17,  ,  ,  ,  
2.045,JPMCB,3301 Gulf Breeze Parkway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,200",12/31/17,  ,  ,  ,  
2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,000",12/31/17,  ,  ,  ,  
2.047,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,750",12/31/17,  ,  ,  ,  
2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,600",12/31/17,  ,  ,  ,  
2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,400",12/31/17,  ,  ,  ,  
2.050,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,420",12/31/17,  ,  ,  ,  
2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,832",12/31/17,  ,  ,  ,  
2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,131",12/31/17,  ,  ,  ,  
2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,000",12/31/17,  ,  ,  ,  
2.054,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,400",12/31/17,  ,  ,  ,  
2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,667",12/31/17,  ,  ,  ,  
2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,200",12/31/17,  ,  ,  ,  
2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,483",12/31/17,  ,  ,  ,  
2.058,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,600",12/31/17,  ,  ,  ,  
2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,188",12/31/17,  ,  ,  ,  
2.060,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,586",12/31/17,  ,  ,  ,  
2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,057",12/31/17,  ,  ,  ,  
