  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.104,JPMCB,234 North Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.105,JPMCB,1611 South Miami Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.106,JPMCB,300 South Mock Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.107,JPMCB,624 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.108,JPMCB,1213 Greenland Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.109,JPMCB,4720 Highway 49 South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.110,JPMCB,4306 North Liberty Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.111,JPMCB,416 Highway 27 South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.112,JPMCB,110 West 10th Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.113,JPMCB,7133 Forest Hill Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.114,JPMCB,4830 Jefferson Davis Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.115,JPMCB,5716 West Andrew Johnson Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.116,JPMCB,869 North Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.117,JPMCB,7880 Broad Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.118,JPMCB,400 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.119,JPMCB,23364 Front Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.120,JPMCB,4394 South NC Highway 150,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.121,JPMCB,33287 Railroad Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
3,JPMCB,Asheville Mall,Gap,"12,044",01/31/13,  ,Ulta Salon,"10,897",11/30/21,  ,New York & Company,"9,020",01/31/14,Refinance
4,JPMCB,Sun Development and Management Portfolio,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
4.001,JPMCB,Embassy Suites Palmdale,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.002,JPMCB,Hilton Garden Inn Ridgefield Park,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.003,JPMCB,Homewood Suites Nashville,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.004,JPMCB,Hampton Inn & Suites South Lake Buena Vista,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
4.005,JPMCB,Candlewood Suites Hattiesburg,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
5,JPMCB,Google Kirkland Campus,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
6,JPMCB,24 West 57th Street,Beacon Restaurant,"12,836",11/30/18,  ,The Timberland Company,"12,500",06/30/12,  ,"Andrew Koenigsberg, LLC","5,395",04/30/21,Refinance
7,JPMCB,Kite Retail Portfolio,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
7.001,JPMCB,Boulevard Crossing,Shoe Carnival,"12,000",01/31/14,  ,Factory Card Outlet of America,"11,880",06/30/14,  ,Ulta Salon,"11,000",02/28/21,  
7.002,JPMCB,Hamilton Crossing Center,La Hacienda Restaurant,"4,800",11/30/17,  ,Ossip Optometry & Ophthalmology,"3,780",11/30/14,  ,J. Razzo's,"3,762",09/30/16,  
7.003,JPMCB,Naperville Marketplace,Dollar Tree,"8,712",03/31/16,  ,Choo Choo Johnny's,"3,055",05/31/18,  ,Valley View Dental Center,"2,798",10/31/17,  
7.004,JPMCB,Publix at Acworth,BodyPlex,"6,500",01/31/17,  ,Beauty Hills Beauty Supply,"2,400",09/30/16,  ,Domino's Pizza,"1,500",05/31/13,  
8,JPMCB,Orland Park Place,hhgregg,"44,495",08/31/21,  ,Marshalls,"39,380",10/31/15,  ,Stein Mart,"36,743",01/31/16,Refinance
9,JPMCB,LaSalle Select Portfolio,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Acquisition
9.001,JPMCB,5707 Peachtree Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.002,JPMCB,3585 Engineering Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
9.003,JPMCB,6455 East Johns Crossing,Vsoft,"11,133",10/31/12,  ,Cambridge Learning,"6,162",11/30/13,  ,NetGear,"6,151",04/30/16,  
9.004,JPMCB,6625 The Corners Parkway,Canvas Systems,"15,221",08/31/14,  ,Nanolumens,"14,654",01/31/12,  ,Conway Data,"7,438",07/31/17,  
10,JPMCB,Denver West Village,Barnes & Noble,"26,246",01/31/13,  ,Office Max,"24,000",09/30/12,  ,Whole Foods Market,"23,627",12/31/12,Refinance
11,JPMCB,Lehigh Valley Portfolio,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Acquisition
11.001,JPMCB,1640-1660 Valley Center Parkway,PNC Bank,"9,544",05/31/12,  ,Bonshall Shafferman Architects,"5,748",10/31/17,  ,Stratix System,"4,980",05/31/15,  
11.002,JPMCB,1455 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.003,JPMCB,1560 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.004,JPMCB,1550 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
11.005,JPMCB,1510 Valley Center Parkway,"Volt Information Sciences, Inc","7,265",04/30/13,  ,Rade Technology Corp.,"4,000",01/31/14,  ,SKF USA Inc.,"3,600",04/30/12,  
11.006,JPMCB,1530 Valley Center Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
12,JPMCB,Eddy Street Commons at Notre Dame,Hammes Notre Dame Bookstore II,"20,154",10/31/19,  ,Executive Suites,"8,857",08/31/21,  ,Urban Outfitters,"8,627",09/30/21,Refinance
13,JPMCB,SunTrust Bank Portfolio II,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
13.001,JPMCB,4240 West Lake Mary Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.002,JPMCB,26627 US Highway 19 North,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.003,JPMCB,597 Solomons Island Road North,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.004,JPMCB,4425 Lafayette Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.005,JPMCB,1850 US Highway 1 South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.006,JPMCB,2150 Cleveland Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.007,JPMCB,1605 21st Avenue South,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.008,JPMCB,111 Southwest 17th Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.009,JPMCB,7319 Spring Hill Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.010,JPMCB,10000 Taft Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.011,JPMCB,6548 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.012,JPMCB,3990 Southwest State Road 200,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.013,JPMCB,114 West Blue Ridge Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
