1,JPMCB,InterContinental Hotel Chicago,"833,329.09","9,999,949.08",07/28/11,09/01/11,08/01/13,09/01/13,119,360,24,1,1,0,0,08/01/21,No,  ,"127,352,255",44.1%
2,JPMCB,SunTrust Bank Portfolio I,"459,194.44","5,510,333.28",06/30/11,08/01/11,  ,  ,118,0,120,2,1,0,0,07/01/21,Yes,07/01/31,"100,000,000",50.0%
2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"4,000,380",  
2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"3,900,371",  
2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"3,150,299",  
2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"2,500,238",  
2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,950,185",  
2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,850,176",  
2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,650,157",  
2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,625,154",  
2.009,JPMCB,160 Garrisonville Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,412,634",  
2.010,JPMCB,5775 Red Bug Lake Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,400,133",  
2.011,JPMCB,4212 Washington Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,325,126",  
2.012,JPMCB,47 Whitlock Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,325,126",  
2.013,JPMCB,4110 Brambleton Avenue SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,275,121",  
2.014,JPMCB,880 East Palmetto Park Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  
2.015,JPMCB,1409 East Atlantic Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  
2.016,JPMCB,3577 Fruitville Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  
2.017,JPMCB,827 Joe Frank Harris Parkway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  
2.018,JPMCB,1470 West Granada Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,200,114",  
2.019,JPMCB,103 City Circle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,200,114",  
2.020,JPMCB,110 Mulberry Street NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,187,613",  
2.021,JPMCB,1331 Johnson Ferry Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,150,109",  
2.022,JPMCB,8226 North Wickham Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,150,109",  
2.023,JPMCB,3620 Six Forks Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,115,106",  
2.024,JPMCB,1725 Mallory Lane,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,112,606",  
2.025,JPMCB,4290 13th Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,100,105",  
2.026,JPMCB,3800 South Semoran Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,100,105",  
2.027,JPMCB,200 East Fifth Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,100,105",  
2.028,JPMCB,1411 Woodward Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,087,603",  
2.029,JPMCB,5025 West Colonial Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,050,100",  
2.030,JPMCB,214 West Broadway Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,050,100",  
2.031,JPMCB,5030 Thoroughbred Lane,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,037,599",  
2.032,JPMCB,403 Academy Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,035,098",  
2.033,JPMCB,1900 Queens Chapel Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,025,097",  
2.034,JPMCB,113 East Granada Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,000,095",  
2.035,JPMCB,408 South US Highway 41,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,000,095",  
