Loan #,Seller(1),Property Name,Street Address,City,State,Zip Code,County,Number of Properties,Property_5 Type,Property_3 Subtype,Year Built,Year Renovated,Loan #.1,Seller(1).1,Property Name.1,Units(2),Unit of  Measure,Occupancy %,Occupancy Date,Appraised Value ($)(3),Appraisal Date(3),Current_1 LTV %(3),Original Balance ($)(4)_9,Original Balance_8 per Unit ($)_4,Current_4 Balance ($)(4)_1,Current Balance_2 per Unit ($)_4,% of Initial Pool Balance,Crossed Loan,Related Borrower(5),Interest Rate %(6)_1,Admin. Fee %(6),Net Mortgage Rate %(6)_0,Accrual Type,Loan #.2,Seller(1).2,Property Name.2,Monthly Debt Service ($)(7),Annual Debt Service ($)(8),Note Date,First Payment Date(9),Partial IO Last IO Payment,Partial IO Loan First P&I Payment,Rem._0  Term(9),Rem._0  Amort,I/O Period(9)(10),Seasoning,Payment Due Date,Grace Period_0  (Late Payment),Grace Period_7  (Default),Maturity Date,ARD Loan(11),Final Mat Date(11),Maturity/ARD Balance ($)(4),Maturity LTV %(3),Loan #.3,Seller(1).3,Property Name.3,Prepayment Provision (Payments)(9)(12)(13),2008_3 Revenues ($)_9,2008_7 Total Expenses ($)_2,2008_7 NOI ($)_9,2009_5 Revenues ($)_0,2009_0 Total Expenses ($)_3,2009_2 NOI ($)_0,2010_9 Revenues ($)_5,2010_4 Total Expenses ($)_5,2010_5 NOI ($)_5,Most Recent_5  Revenues ($),Most Recent_5  Total Expenses ($),Most Recent_3  NOI ($)(14),As of,Loan #.4,Seller(1).4,Property Name.4,UW Economic Occupancy %,UW_3 Revenues ($),UW Total Expenses ($),UW NOI ($)(14),UW_6  Capital Items ($),UW NCF ($)(14),UW_5  NOI DSCR(14),UW NCF_0 DSCR(14),UW NOI Debt Yield %,UW NCF_5  Debt Yield %,Title Type,Ground Lease_5  Expiration,Ground Lease_8  Extension Terms,PML %,Loan #.5,Seller(1).5,Property Name.5,Upfront Capex Reserve ($)_0,Upfront Engin. Reserve ($)_2,Upfront Envir.  Reserve ($),Upfront TI/LC Reserve ($)_0,Upfront RE Tax Reserve ($)_8,Upfront Ins. Reserve ($)_4,Upfront Other Reserve ($)_1,Unnamed: 99,Monthly Capex Reserve ($)_3,Monthly Envir. Reserve ($)_0,Monthly TI/LC Reserve ($)_8,Monthly RE Tax Reserve ($)_0,Monthly Ins. Reserve ($)_7,Monthly Other Reserve ($)_2,Loan #.6,Seller(1).6,Property Name.6,Capex  Reserve Cap ($)_3,Envir.  Reserve Cap ($)_6,TI/LC  Reserve Cap ($)_0,RE Tax  Reserve Cap ($)_1,Insur.  Reserve Cap ($)_4,Debt Service  Reserve Cap ($)_2,Other  Reserve Cap ($)_0,Unnamed: 10_level_1,Single Tenant,Largest Tenant,Unit Size_9,Lease_0 Expiration_3,Unnamed: 121,2nd Largest Tenant,Unit Size_3,Lease_0 Expiration_0,Loan #.7,Seller(1).7,Property Name.7,3rd Largest Tenant,Unit Size_8,Lease_8 Expiration_1,Unnamed: 131,4th Largest Tenant,"( '     ' ,   ' U n i t   S i z e _ 8 ' ) . 1",Lease_3 Expiration_6,"( '     ' ,   '     ' ) . 1",5th Largest Tenant,Unit Size_4,Lease_5 Expiration_4,Loan Purpose,Loan #.8,Seller(1).8,Property Name.8,Principal / Carveout Guarantor(20),Lockbox_5  (Y/N),Lockbox_9  Type(21),Additional Debt_2  Permitted (Y/N),Additional Debt_2  Exist (Y/N)(22),Additional Debt_4  Amount ($)(22),Additional Debt_5  Type(22),Total Debt_0 Current Balance ($),Total Debt_3  UW NCF  DSCR,Total Debt Current LTV %,Total Debt_9  UW NOI  Debt Yield %,Loan #_2,Seller(1).9,Property Name.9,2008_6 Occupancy %_3,2008_5  ADR ($)_3,2008_5  RevPAR ($)_0,2009_8  Occupancy %_3,2009_5  ADR ($)_6,2009_7  RevPAR ($)_1,2010_4  Occupancy %_1,2010_6  ADR ($)_8,2010_7  RevPAR ($)_8,Most Recent_9  Occupancy %_5,Most Recent_7  ADR ($)_3,Most Recent_3  RevPAR ($)_7,UW_0 Occupancy %_4,UW_6  ADR ($)_7,UW_9  RevPAR ($)_0,Loan #_5
1.0,JPMCB,InterContinental Hotel Chicago,505 North Michigan Avenue,Chicago,IL,60611,Cook,1,Hotel,Full Service,1929,2010,1.0,JPMCB,InterContinental Hotel Chicago,792,Rooms,76.8%,06/30/11,"289,000,000",07/01/11,50.2%,"145,000,000","183,081","145,000,000","183,081",14.1%,No,  ,5.61000,0.10720,5.50280,Actual/360,1.0,JPMCB,InterContinental Hotel Chicago,"833,329.09","9,999,949.08",07/28/11,09/01/11,08/01/13,09/01/13,119,360,24,1,1,0,0,08/01/21,No,  ,"127,352,255",44.1%,1.0,JPMCB,InterContinental Hotel Chicago,"L(25),Grtr1%orYM(92),O(3)","78,687,110","55,731,474","22,955,636","63,713,751","48,746,390","14,967,361","62,767,661","47,899,159","14,868,502","65,421,022","49,499,229","15,921,793",06/30/11,1.0,JPMCB,InterContinental Hotel Chicago,76.8%,"65,807,521","50,124,973","15,682,548",0,"15,682,548",1.57,1.57,10.8%,10.8%,Fee,  ,  ,  ,1,JPMCB,InterContinental Hotel Chicago,0,0,0,0,0,0,0,  ,0,0,0,0,0,0,1,JPMCB,InterContinental Hotel Chicago,  ,  ,  ,  ,  ,  ,  ,  ,No,  ,  ,  ,  ,  ,  ,  ,1,JPMCB,InterContinental Hotel Chicago,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance,1.0,JPMCB,InterContinental Hotel Chicago,Strategic Hotel Funding L.L.C.,Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP,1,JPMCB,InterContinental Hotel Chicago,81.0%,210.44,170.45,76.1%,175.83,133.84,73.4%,178.19,130.74,76.8%,180.19,138.30,76.8%,180.19,138.30,1
2.0,JPMCB,SunTrust Bank Portfolio I,Various,Various,Various,Various,Various,121,Retail,Freestanding,Various,  ,2.0,JPMCB,SunTrust Bank Portfolio I,"646,399",Square Feet,100.0%,06/15/11,"199,901,000",Various,50.0%,"100,000,000",155,"100,000,000",155,9.7%,No,1,5.42000,0.10720,5.31280,Actual/360,2.0,JPMCB,SunTrust Bank Portfolio I,"459,194.44","5,510,333.28",06/30/11,08/01/11,  ,  ,118,0,120,2,1,0,0,07/01/21,Yes,07/01/31,"100,000,000",50.0%,2.0,JPMCB,SunTrust Bank Portfolio I,"L(5),Grtr1%orYM(112),O(3)",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0,JPMCB,SunTrust Bank Portfolio I,95.0%,"15,155,436","454,663","14,700,773","885,567","13,815,207",2.67,2.51,14.7%,13.8%,Fee,  ,  ,  ,2,JPMCB,SunTrust Bank Portfolio I,0,0,0,0,0,0,0,  ,0,0,0,0,0,0,2,JPMCB,SunTrust Bank Portfolio I,  ,  ,  ,  ,  ,  ,  ,  ,Yes,  ,  ,  ,  ,  ,  ,  ,2,JPMCB,SunTrust Bank Portfolio I,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance,2.0,JPMCB,SunTrust Bank Portfolio I,"Inland American Real Estate Trust, Inc.",Yes,Hard,No,No,NAP,NAP,NAP,NAP,NAP,NAP,2,JPMCB,SunTrust Bank Portfolio I,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2
2.001,JPMCB,3020 Peachtree Road NW,3020 Peachtree Road NW,Atlanta,GA,30305,Fulton,1,Retail,Freestanding,1980,  ,2.001,JPMCB,3020 Peachtree Road NW,"12,940",Square Feet,100.0%,06/15/11,"8,000,000",05/11/11,  ,"4,000,380",  ,"4,000,380",  ,0.4%,  ,  ,  ,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"4,000,380",  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,95.0%,"581,911","17,457","564,454","17,728","546,726",  ,  ,  ,  ,Fee,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"12,940",12/31/17,  ,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.001,JPMCB,3020 Peachtree Road NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.001
2.002,JPMCB,1030 Wilmer Avenue,1030 Wilmer Avenue,Richmond,VA,23227,Henrico,1,Retail,Freestanding,1991,  ,2.002,JPMCB,1030 Wilmer Avenue,"78,308",Square Feet,100.0%,06/15/11,"7,800,000",05/10/11,  ,"3,900,371",  ,"3,900,371",  ,0.4%,  ,  ,  ,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"3,900,371",  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,95.0%,"579,549","17,386","562,163","107,282","454,881",  ,  ,  ,  ,Fee,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"78,308",12/31/17,  ,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.002,JPMCB,1030 Wilmer Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.002
2.003,JPMCB,7500 Wisconsin Avenue,7500 Wisconsin Avenue,Bethesda,MD,20814,Montgomery,1,Retail,Freestanding,1926,  ,2.003,JPMCB,7500 Wisconsin Avenue,"11,060",Square Feet,100.0%,06/15/11,"6,300,000",05/23/11,  ,"3,150,299",  ,"3,150,299",  ,0.3%,  ,  ,  ,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"3,150,299",  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,95.0%,"401,463","12,044","389,419","15,152","374,267",  ,  ,  ,  ,Fee,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"11,060",12/31/17,  ,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.003,JPMCB,7500 Wisconsin Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.003
2.004,JPMCB,3300 Northside Parkway NW,3300 Northside Parkway NW,Atlanta,GA,30327,Fulton,1,Retail,Freestanding,1968,  ,2.004,JPMCB,3300 Northside Parkway NW,"9,789",Square Feet,100.0%,06/15/11,"5,000,000",05/11/11,  ,"2,500,238",  ,"2,500,238",  ,0.2%,  ,  ,  ,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"2,500,238",  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,95.0%,"394,808","11,844","382,964","13,411","369,553",  ,  ,  ,  ,Fee,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"9,789",12/31/17,  ,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.004,JPMCB,3300 Northside Parkway NW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.004
2.005,JPMCB,5898 Roswell Road NE,5898 Roswell Road NE,Atlanta,GA,30328,Fulton,1,Retail,Freestanding,1971,  ,2.005,JPMCB,5898 Roswell Road NE,"6,853",Square Feet,100.0%,06/15/11,"3,900,000",05/11/11,  ,"1,950,185",  ,"1,950,185",  ,0.2%,  ,  ,  ,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,950,185",  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,95.0%,"276,394","8,292","268,102","9,389","258,714",  ,  ,  ,  ,Fee,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,853",12/31/17,  ,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.005,JPMCB,5898 Roswell Road NE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.005
2.006,JPMCB,152 Main Street,152 Main Street,Annapolis,MD,21401,Anne Arundel,1,Retail,Freestanding,1925,  ,2.006,JPMCB,152 Main Street,"5,900",Square Feet,100.0%,06/15/11,"3,700,000",05/06/11,  ,"1,850,176",  ,"1,850,176",  ,0.2%,  ,  ,  ,  ,  ,  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,850,176",  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.006,JPMCB,152 Main Street,95.0%,"267,702","8,031","259,671","8,083","251,588",  ,  ,  ,  ,Fee,  ,  ,  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,900",12/31/17,  ,  ,  ,  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.006,JPMCB,152 Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.006
2.0069999999999997,JPMCB,100 Crain Highway SW,100 Crain Highway SW,Glen Burnie,MD,21061,Anne Arundel,1,Retail,Freestanding,1962,  ,2.0069999999999997,JPMCB,100 Crain Highway SW,"6,645",Square Feet,100.0%,06/15/11,"3,300,000",05/09/11,  ,"1,650,157",  ,"1,650,157",  ,0.2%,  ,  ,  ,  ,  ,  ,2.0069999999999997,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,650,157",  ,2.0069999999999997,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0069999999999997,JPMCB,100 Crain Highway SW,95.0%,"241,204","7,236","233,968","9,104","224,865",  ,  ,  ,  ,Fee,  ,  ,  ,2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,645",12/31/17,  ,  ,  ,  ,2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0069999999999997,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.007,JPMCB,100 Crain Highway SW,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.007
2.008,JPMCB,4250 John Marr Drive,4250 John Marr Drive,Annandale,VA,22003,Fairfax,1,Retail,Freestanding,1993,  ,2.008,JPMCB,4250 John Marr Drive,"2,440",Square Feet,100.0%,06/15/11,"3,250,000",05/23/11,  ,"1,625,154",  ,"1,625,154",  ,0.2%,  ,  ,  ,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,625,154",  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,95.0%,"221,422","6,643","214,779","3,343","211,436",  ,  ,  ,  ,Fee,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"2,440",12/31/17,  ,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.008,JPMCB,4250 John Marr Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.008
